Ingredient,Total Quantity (grams)
?duja Salami,2900.0
Alfredo Sauce,1445.0
Anchovies,3345.0
Artichokes,11125.0
Arugula,700.0
Asiago Cheese,6410.0
Bacon,29050.0
Barbecue Sauce,2395.0
Barbecued Chicken,6870.0
Beef Chuck Roast,13170.0
Blue Cheese,1620.0
Brie Carre Cheese,1110.0
Calabrese Salami,15450.0
Capocollo,62650.0
Caramelized Onions,0.0
Chicken,85750.0
Chipotle Sauce,7330.0
Chorizo Sausage,5500.0
Cilantro,3665.0
Coarse Sicilian Salami,11280.0
Corn,24590.0
Eggplant,2660.0
Feta Cheese,10880.0
Fontina Cheese,6570.0
Friggitello Peppers,725.0
Garlic,24740.0
Genoa Salami,8460.0
Goat Cheese,13240.0
Gorgonzola Piccante Cheese,5720.0
Gouda Cheese,4990.0
Green Olives,4775.0
Green Peppers,6990.0
Italian Sausage,1100.0
Jalapeno Peppers,6160.0
Kalamata Olives,3510.0
Luganega Sausage,5640.0
Mozzarella Cheese,11870.0
Mushrooms,26880.0
Onions,2820.0
Oregano,1245.0
Pancetta,4350.0
Parmigiano Reggiano Cheese,13530.0
Pears,370.0
Peperoncini verdi,2065.0
Pepperoni,25240.0
Pesto Sauce,4130.0
Pineapple,10155.0
Plum Tomatoes,3680.0
Prosciutto,1110.0
Prosciutto di San Daniele,1660.0
Provolone Cheese,1620.0
Red Onions,71620.0
Red Peppers,14630.0
Ricotta Cheese,7150.0
Romano Cheese,1620.0
Sliced Ham,0.0
Smoked Gouda Cheese,1620.0
Soppressata Salami,7900.0
Spinach,26460.0
Sun-dried Tomatoes,1590.0
Thai Sweet Chilli Sauce,4230.0
Thyme,185.0
Tomatoes,49090.0
Zucchini,4320.0
